group,names,scores,logfoldchanges,pvals,pvals_adj
CD14+ Monocytes,ABT1,-13.24823,,4.6197138826403974e-40,1.0311861345179458e-39
CD14+ Monocytes,ZMAT2,-13.265517,,3.668828480503907e-40,8.198499397774093e-40
CD14+ Monocytes,TXNDC17,-13.292536,,2.5576001223870817e-40,5.72170049751025e-40
CD14+ Monocytes,RP3-508I15.21,-13.320917,,1.7494615023738504e-40,3.918166858620046e-40
CD14+ Monocytes,TMEM141,-13.358893,,1.0511502340789906e-40,2.3568390898632076e-40
CD14+ Monocytes,VIL1,-13.38884,1.7830752,7.027022515559951e-41,1.577333897993255e-40
CD14+ Monocytes,LYN,-13.398027,,6.209164997459827e-41,1.3984605850134747e-40
CD14+ Monocytes,RNF213,-13.420011,,4.616488096676086e-41,1.0409217805357579e-40
CD14+ Monocytes,UBE2Q1,-13.430219,-4.696091,4.0221935311095884e-41,9.089702895162911e-41
CD14+ Monocytes,NUDT5,-13.442946,,3.3867915451170855e-41,7.671102027445267e-41
CD14+ Monocytes,AATF,-13.445805,,3.2584197746870356e-41,7.388706972079446e-41
CD14+ Monocytes,PLAC8,-13.45581,,2.846061089567158e-41,6.460978636928849e-41
CD14+ Monocytes,FERMT3,-13.472688,,2.2646909665502602e-41,5.147024923977864e-41
CD14+ Monocytes,SMIM12,-13.567154,,6.27104171600939e-42,1.4301121359200432e-41
CD14+ Monocytes,SNX17,-13.581616,,5.147796505454177e-42,1.175296005811456e-41
CD14+ Monocytes,RPUSD1,-13.593356,,4.3850223988014686e-42,1.0034376198630363e-41
CD14+ Monocytes,ATP6AP1,-13.594309,,4.328291344632341e-42,9.915902278653702e-42
CD14+ Monocytes,PBRM1,-13.604041,,3.7890371829412066e-42,8.690452254452309e-42
CD14+ Monocytes,LITAF,-13.625684,,2.8175747929908684e-42,6.477183432162916e-42
CD14+ Monocytes,VKORC1,-13.6275215,,2.7475318141573454e-42,6.323433404274673e-42
CD14+ Monocytes,CTD-2012J19.3,-13.631946,0.6615832,2.5859327545583515e-42,5.958370402208184e-42
CD14+ Monocytes,POLR2G,-13.656515,,1.8461014303147298e-42,4.2605861799564256e-42
CD14+ Monocytes,IDH1,-13.665975,,1.6211779699019977e-42,3.7527267821805505e-42
CD14+ Monocytes,GUSB,-13.683739,,1.2699229803012608e-42,2.943042828044637e-42
CD14+ Monocytes,TTN-AS1,-13.689149,,1.1788178430993003e-42,2.7350762020865438e-42
CD14+ Monocytes,KLRG1,-13.70647,,9.286729525353157e-43,2.157196173136622e-42
CD14+ Monocytes,COMMD10,-13.730631,,6.655151296906934e-43,1.5477096039318452e-42
CD14+ Monocytes,CDC5L,-13.730699,,6.6489023936178075e-43,1.5477096039318452e-42
CD14+ Monocytes,SLC39A1,-13.759352,,4.47522077150213e-43,1.0431750050121516e-42
CD14+ Monocytes,ECHDC1,-13.78045,,3.3418301290868223e-43,7.798903451777882e-43
CD14+ Monocytes,KIAA0101,-13.788277,4.214337,2.9983725120952e-43,7.005543252558879e-43
CD14+ Monocytes,STK11IP,-13.792428,3.3653934,2.830688052700648e-43,6.629246025060066e-43
CD14+ Monocytes,MBOAT7,-13.811961,,2.1587350346297986e-43,5.0734078369677994e-43
CD14+ Monocytes,DHRS7,-13.854634,,1.1926316181899244e-43,2.8128104202592557e-43
CD14+ Monocytes,SRPR,-13.873418,,9.17957677283593e-44,2.1701127122543573e-43
CD14+ Monocytes,RAB4B,-13.939027,,3.669081535230018e-44,8.715158040926408e-44
CD14+ Monocytes,RABL6,-13.972716,,2.2873421742402344e-44,5.439577108775825e-44
CD14+ Monocytes,MLX,-13.996469,,1.6381040532609499e-44,3.904896432088081e-44
CD14+ Monocytes,RCHY1,-14.002934,,1.4956575653634701e-44,3.5695884614879956e-44
CD14+ Monocytes,TM7SF3,-14.006882,,1.414822035882206e-44,3.380697815728091e-44
CD14+ Monocytes,SMOX,-14.024441,-0.55002135,1.104795087140636e-44,2.6493886981789835e-44
CD14+ Monocytes,SCD,-14.0253935,1.7957016,1.0900562928417162e-44,2.6171819756103633e-44
CD14+ Monocytes,FAM43A,-14.102028,,3.690113699977986e-45,8.881140072149184e-45
CD14+ Monocytes,C1QC,-14.105567,2.6194956,3.509573882392625e-45,8.456804535885843e-45
CD14+ Monocytes,TAF12,-14.162498,,1.5633616781503746e-45,3.7762359375612913e-45
CD14+ Monocytes,NDUFA9,-14.163485,,1.5415565196839666e-45,3.7280689714243453e-45
CD14+ Monocytes,MPP1,-14.189551,,1.0633657476625621e-45,2.574735466495308e-45
CD14+ Monocytes,C1orf54,-14.213882,,7.514128964252836e-46,1.8260337701707988e-45
CD14+ Monocytes,NAPA-AS1,-14.218,2.7241566,7.084882464748113e-46,1.7238156848535556e-45
CD14+ Monocytes,KIFC1,-14.240698,2.5086873,5.121314695716826e-46,1.249101145296787e-45
CD14+ Monocytes,HBP1,-14.252642,,4.3163666768109795e-46,1.0540577965350377e-45
CD14+ Monocytes,CTRL,-14.281499,1.7785475,2.85395776331005e-46,6.977891841833863e-46
CD14+ Monocytes,TMEM50A,-14.288713,,2.5732003766911983e-46,6.299144128987022e-46
CD14+ Monocytes,ZNF503,-14.292286,,2.444502298689868e-46,5.991427202671245e-46
